Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,,,,,
T40,6/15/15,13.157848,39.240549,13.160571,39.231322,WGS84,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,FEATURES,,ASH,ASH_HEIGHT,,CARB_SAMPLE,CARB_REMARKS,CARB_HEIGHT,CARB_UNIT,CARB_d13C,CARB_d13C_std,CARB_d18O,CARB_d18O_std,CARB_mts_mtx,CARB_87Sr/86Sr,CARB_Al_ppm,CARB_Ca_ppm,CARB_Fe_ppm,CARB_Mg_ppm,CARB_Mn_ppm,CARB_K_ppm,CARB_Na_ppm,CARB_Sr_ppm
1,cover,cover,,,,,,301.6,,301.6,214,4.681,0.062,-1.497,0.283,mtx,,,,,,,,,
0.4,ls,ri,mts,,,,,302.7,,302.7,215,5.157,0.055,-0.969,0.109,mtx,,,,,,,,,
0.9,ls,gr,,,,,,304.7,,304.7,215,5.814,0.041,0.557,0.149,mtx,,,,,,,,,
0.7,ls,olt,icb,,,,,306.9,,306.9,215,6.086,0.081,0.359,0.119,mtx,,,,,,,,,
2.2,ls,gr,mts,,,,,307.8,,307.8,215,5.705,0.067,-0.296,0.171,mtx,,,,,,,,,
0.7,ls,olt,,,,,,310.1,,310.1,215,5.563,0.053,0.198,0.156,mtx,,,,,,,,,
0.9,ls,gr,mts,,,,,312.7,,312.7,218,4.438,0.064,-10.912,0.146,mtx,,,,,,,,,
0.7,ls,olt,,,,,,313.4,,313.4,220,4.523,0.063,-9.974,0.269,mtx,,,,,,,,,
0.3,ls,gr,mts,,,,,314.4,,314.4,224,4.472,0.073,-7.818,0.299,mtx,,,,,,,,,
0.4,ls,gr,,,,,,316.4,,316.4,228,4.403,0.058,-7.543,0.235,mtx,,,,,,,,,
1.1,ls,gr,mts,,,,,323.3,,323.3,230,4.21,0.084,-8.77,0.226,mtx,,,,,,,,,
1.6,ls,olt,,,,,,325.1,,325.1,231,4.547,0.047,-6.414,0.138,mtx,,,,,,,,,
1.1,ls,gr,mts,,,,,327.1,,327.1,233,3.329,0.039,-8.837,0.131,mtx,,-66.0360568,449930.4926,140.2482414,2422.344319,77.84602887,447.2713797,-11.89873514,514.0420965
0.2,ls,olt,,,,,,327.1,,327.1,233,3.409,0.048,-5.738,0.147,mts,,-47.19897345,373606.8193,1.832509707,686.0546365,29.78538475,134.2466723,-44.53714171,260.0967503
0.1,ls,gr,mts,,,,,329,,329,234,4.176,0.093,-6.788,0.158,mtx,,,,,,,,,
6.4,ls,olt,,,,,,331.1,,331.1,235,3.41,0.019,-6.428,0.207,mtx,,,,,,,,,
2.7,ls,olt,icb,,,,,332.6,,332.6,239,5.412,0.106,-6.202,0.199,mtx,,,,,,,,,
0.3,ls,gr,mts,,,,,334.3,,334.3,243,2.428,0.102,-6.386,0.252,mtx,,,,,,,,,
0.3,cover,cover,,,,,,336.1,,336.1,247,5.129,0.036,-6.412,0.233,mtx,,,,,,,,,
0.2,ls,gr,mts,,,,,339,,339,248,5.138,0.029,-6.049,0.139,mtx,,,,,,,,,
