section,lithology,formation,strat_m,composite_strat,d13C,d18O,d13Corg,Dd13C,TOC%
W1,limestone,Bitter Springs,-1730.9,216.6,5.4,-5.3,,,
W1,dolostone,Bitter Springs,-1729.6,217.9,5.3,-3.3,,,
W1,dolostone,Bitter Springs,-1728.8,218.7,5,-2.5,-27.9,32.9,
W1,insoluble residue,Bitter Springs,-1727.8,219.7,,,-26.7,31.6,
W1,dolostone,Bitter Springs,-1727.7,219.8,4.9,-2.7,,,
W1,,Bitter Springs,-1727.1,220.4,,,,,
W1,limestone,Bitter Springs,-1726.4,221.1,4.8,-5.5,,,
W1,dolostone,Bitter Springs,-1723.3,224.2,3.8,-2.1,,,
W1,insoluble residue,Bitter Springs,-1723.3,224.2,,,-27,30.8,
W1,dolostone,Bitter Springs,-1721.2,226.3,4.1,-3.7,,,
W1,insoluble residue,Bitter Springs,-1721.2,226.3,,,-26.6,30.8,
W1,dolostone,Bitter Springs,-1720.3,227.2,3.9,-5.2,,,
W1,,Bitter Springs,-1719.2,228.3,,,,,
W1,dolostone,Bitter Springs,-1719.1,228.4,4.1,-2.6,,,
W1,limestone,Bitter Springs,-1718,229.5,1.1,-11.7,,,
W1,dolostone,Bitter Springs,-1709.7,237.8,5.6,-1.8,,,
W1,insoluble residue,Bitter Springs,-1709.7,237.8,,,-27.4,33,
W1,dolostone,Bitter Springs,-1707.5,240,5.5,-2.1,,,
W1,limestone,Bitter Springs,-1704.7,242.8,4.9,-8.7,,,
W1,insoluble residue,Bitter Springs,-1703.8,243.7,,,-26.6,31.4,
W1,limestone,Bitter Springs,-1703.7,243.8,4.8,-6.6,,,
W1,limestone,Bitter Springs,-1703.3,244.2,4.7,-6.7,,,
W1,dolostone,Bitter Springs,-1702.3,245.2,5.8,-3.3,,,
W1,dolostone,Bitter Springs,-1701.9,245.6,5.9,-1.5,,,
W1,insoluble residue,Bitter Springs,-1701.9,245.6,,,-24.4,30.2,
W1,dolostone,Bitter Springs,-1700.7,246.8,5.1,-3.8,,,
W1,dolostone,Bitter Springs,-1695.6,251.9,5.3,-2.8,,,
W1,dolostone,Bitter Springs,-1695.4,252.1,5.1,-2.4,,,
W1,insoluble residue,Bitter Springs,-1695.3,252.2,,,-21.5,26.9,
W1,limestone,Bitter Springs,-1673.9,273.6,3.8,-6.6,,,
W1,limestone,Bitter Springs,-1673.6,273.9,4.1,-6.4,,,
W1,limestone,Bitter Springs,-1673.2,274.3,4.3,-6.8,,,
W1,,Bitter Springs,-1673.1,274.4,,,,,
W1,limestone,Bitter Springs,-1671.9,275.6,3.9,-9.5,,,
W1,limestone,Bitter Springs,-1671.3,276.2,3.6,-9.2,,,
W1,limestone,Bitter Springs,-1671.1,276.4,3.7,-7.7,-25.3,29,0.006
W1,dolostone,Bitter Springs,-1671,276.5,4.3,-3.7,,,
W1,dolostone,Bitter Springs,-1670.9,276.6,3.6,-3,,,
W1,limestone,Bitter Springs,-1665.2,282.3,4.3,-8.2,-25.8,30.1,0.006
W1,limestone,Bitter Springs,-1664.8,282.7,4.7,-7.5,,,
W1,limestone,Bitter Springs,-1664,283.5,4.9,-10.4,,,
W1,limestone,Bitter Springs,-1662.9,284.6,4.8,-11.4,,,
W1,insoluble residue,Bitter Springs,-1659.8,287.7,,,-25.8,31.9,
W1,limestone,Bitter Springs,-1659.3,288.2,6.1,-10.1,,,
W1,limestone,Bitter Springs,-1658.6,288.9,6,-10.5,,,
W1,dolostone,Bitter Springs,-1658.3,289.2,7.1,-5.6,,,
W1,limestone,Bitter Springs,-1657.8,289.7,6.2,-12.7,,,
W1,dolostone,Bitter Springs,-1654.4,293.1,4.4,-3.5,,,
W1,dolostone,Bitter Springs,-1652.5,295,4.6,-5.1,,,
W1,dolostone,Bitter Springs,-1648.4,299.1,5.8,-4.8,-25.1,30.9,0.021
W1,dolostone,Bitter Springs,-1645.6,301.9,5.6,-4,,,
W1,dolostone,Bitter Springs,-1644.2,303.3,4.8,-6.7,,,
W1,dolostone,Bitter Springs,-1643.8,303.7,5.7,-4.9,,,
W1,dolostone,Bitter Springs,-1642.3,305.2,6.7,-2.9,-25.5,32.2,0.014
W1,dolostone,Bitter Springs,-1641.8,305.7,7.3,-8.3,,,
W1,limestone,Bitter Springs,-1640.5,307,6.8,-6.9,,,
W1,insoluble residue,Bitter Springs,-1639.5,308,,,-26.1,32.8,
W1,limestone,Bitter Springs,-1639.4,308.1,6.7,-7.2,,,
W1,dolostone,Bitter Springs,-1638.7,308.8,7.3,-5.9,,,
W1,dolostone,Bitter Springs,-1637.5,310,6.7,-5.5,,,
W1,dolostone,Bitter Springs,-1637.1,310.4,6.7,-3.2,,,
W1,dolostone,Bitter Springs,-1635.8,311.7,7.2,-7,,,
W1,insoluble residue,Bitter Springs,-1634.9,312.6,,,-24.6,31.3,
W1,limestone,Bitter Springs,-1634.8,312.7,6.7,-6.8,,,
W1,limestone,Bitter Springs,-1633.4,314.1,6.1,-8.4,,,
W1,dolostone,Bitter Springs,-1632.6,314.9,4.7,-6.4,,,
W1,dolostone,Bitter Springs,-1632.1,315.4,7,-4,,,
W1,insoluble residue,Bitter Springs,-1632,315.5,,,-22.2,29.2,
W1,dolostone,Bitter Springs,-1631.3,316.2,6.8,-3.4,,,
W1,limestone,Bitter Springs,-1630.1,317.4,7.6,-6.6,,,
W1,dolostone,Bitter Springs,-1629.2,318.3,5.4,-2.5,,,
W1,dolostone,Bitter Springs,-1628.3,319.2,5.8,-2.2,-25.5,31.4,0.048
